"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"2,3,4,4'-tetrahydroxybenzophenone",,"31127-54-5","Kawamura Y, Mutsuga M, Kato T, Iida M, Tanamoto K. 2005. Estrogenic and anti-androgenic activities of benzophenones in human estrogen and androgen receptor mediated mammalian reporter gene assays. Journal of Health Science 51(1):48-54. DOI: 10.1248/jhs.51.48. URL: https://www.jstage.jst.go.jp/article/jhs/51/1/51_1_48/_article  Kawamura Y, Ogawa Y, Nishimura T, Kikuchi Y, Nishikawa J, Nishihara T, Tanamoto K. 2003. Estrogenic activities of UV stabilizers used in food contact plastics and benzophenone derivatives tested by the yeast two-hybrid assay. Journal of Health Science 49(3):205-212. DOI: 10.1248/jhs.49.205. URL: https://www.jstage.jst.go.jp/article/jhs/49/3/49_3_205/_article","Food additives and contact material, Industrial additive, Personal care product/Cosmetic ingredient","Kawamura Y, Ogawa Y, Nishimura T, Kikuchi Y, Nishikawa J, Nishihara T and Tanamoto K. 2003. Estrogenic activities of UV stabilizers used in food contact plastics and benzophenone derivatives tested by the yeast two-hybrid assay. Journal of Health Science 49(3): 205-212. DOI: 10.1248/jhs.49.205. URL: https://www.jstage.jst.go.jp/article/jhs/49/3/49_3_205/_article","01/20/2017","01/20/2017",,,
"2,3,4,4',5-pentachlorobiphenyl","PCB-114","74472-37-0","Bandiera S, Sawyer TW, Campbell MA, Fujita T, Safe S. 1983. Competitive binding to the cytosolic 2,3,7,8-tetrachlorodibenzo-p-dioxin receptor. Effects of structure on the affinities of substituted halogenated biphenyls--a QSAR analysis. Biochem Pharmacol 32(24):3803-3813. DOI: 10.1016/0006-2952(83)90153-3. URL: https://www.sciencedirect.com/science/article/pii/0006295283901533  Krishnan V, Safe S. 1993. Polychlorinated biphenyls (PCBs), dibenzo-p-dioxins (PCDDs), and dibenzofurans (PCDFs) as antiestrogens in MCF-7 human breast cancer cells: quantitative structure-activity relationships. Toxicol Appl Pharmacol 120(1):55-61. DOI: 10.1006/taap.1993.1086. URL: https://www.sciencedirect.com/science/article/pii/S0041008X83710860?via%3Dihub","Industrial additive","CDPH. 1988. Polychlorinated Biphenyls (PCBs). Fact Sheet.  URL: http://www.cdph.ca.gov/programs/hesis/Documents/pcbs.pdf  UNEP. 1999. Guidlines for the Identification of PCBs and Materials Containing PCBs. URL: http://wedocs.unep.org/handle/20.500.11822/8221  US EPA. 2012. Aroclor and other PCB mixtures. URL: http://www.epa.gov/osw//hazard/tsd/pcbs/pubs/aroclor.htm","05/05/2011","05/05/2011",,,
"2,3,4,4',5,6-hexabromodiphenyl ether ","PBDE-166 ","189084-58-0","Meerts IATM, Letcher RJ, Hoving S, Marsh G, Bergman ?, Lemmen JG, van der Burg B, Brouwer A. 2001. In vitro estrogenicity of polybrominated diphenyl ethers, hydroxylated PBDEs, and polybrominated bisphenol A compounds. Environ Health Perspect 109(4):399-407. DOI: 10.2307/3454900 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1240281/","Byproduct/Intermediate/Reactant, Flame retardant","WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"2,3,4,4',5,6-hexabromodiphenyl ether metabolite","PBDE-166 metabolite","n/a","Meerts IATM, van Zanden JJ, Luijks EAC, van Leeuwen-Bol I, Marsh G, Jakobsson E, Bergman ?, Brouwer A. 2000. Potent competitive interactions of some brominated flame retardants and related compounds with human transthyretin in vitro. Toxicol Sci 56(1):95-104. DOI: 10.1093/toxsci/56.1.95. URL: https://academic.oup.com/toxsci/article/56/1/95/1646061","Metabolite/Degradate","Meerts IATM, van Zanden JJ, Luijks EAC, van Leeuwen-Bol I, Marsh G, Jakobsson E, Bergman A, Brouwer A. 2000. Potent competitive interactions of some brominated flame retardants and related compounds with human transthyretin in vitro. Toxicol Sci 56(1):95-104. DOI: 10.1093/toxsci/56.1.95. URL: https://academic.oup.com/toxsci/article/56/1/95/1646061","05/05/2011","05/05/2011",,,
"2,3,4,5-tetrachlorobiphenyl","PCB-61","33284-53-6","Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO. 1995. The E-SCREEN assay as a tool to identify estrogens: An update on estrogenic environmental pollutants. Environ Health Perspect 103 (Suppl. 7):113-122. DOI: 10.2307/3432519 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1518887/","Industrial additive","CDPH. 1988. Polychlorinated Biphenyls (PCBs). Fact Sheet.  URL: http://www.cdph.ca.gov/programs/hesis/Documents/pcbs.pdf  UNEP. 1999. Guidlines for the Identification of PCBs and Materials Containing PCBs. URL: http://wedocs.unep.org/handle/20.500.11822/8221  US EPA. 2012. Aroclor and other PCB mixtures. URL: http://www.epa.gov/osw//hazard/tsd/pcbs/pubs/aroclor.htm","05/05/2011","05/05/2011",,,
"2,3,4,5-tetrachlorophenol"," ","4901-51-3","den Besten C, Vet JJRM, Besselink HT, Kiel GS, Beems R, van Bladeren PJV. 1991. The liver, kidney, and thyroid toxicity of chlorinated benzenes. Toxicol Appl Pharmacol 111(1):69-81. DOI: 10.1016/0041-008X(91)90135-2. URL: https://www.sciencedirect.com/science/article/pii/0041008X91901352","Metabolite/Degradate, Pesticide ingredient","ATSDR. 2001. Toxicological Profile for Pentachlorophenol. URL: http://www.atsdr.cdc.gov/toxprofiles/tp51-c6.pdf  Chu I, Villeneuve DC, Viau A, Barnes CR, Benoit FM, Qin YH. 1984. Metabolism of 1,2,3,4-, 1,2,3,5-, and 1,2,4,5-tetrachlorobenzene in the rat. J Toxicol Environ Health 13(4-6):777-786.  DOI: 10.1080/15287398409530539. URL: http://www.tandfonline.com/doi/abs/10.1080/15287398409530539  Johnston JJ, Furcolow CA, Kimball BA. 1997. Identification of metabolites of pentachlorobenzene and 1,2,4,5-tetrachlorobenzene in coyote feces: development of physiological markers for wildlife damage control. Pestic Sci 50:249-257.  DOI: 10.1002/(SICI)1096-9063(199707)50:3<249::AID-PS583>3.0.CO;2-H. URL: http://www.aphis.usda.gov/wildlife_damage/nwrc/publications/97pubs/97-35.pdf  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"2,3,4,5,6-pentachlorobiphenyl","PCB-116","18259-05-7","Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO. 1995. The E-SCREEN assay as a tool to identify estrogens: An update on estrogenic environmental pollutants. Environ Health Perspect 103 (Suppl. 7):113-122. DOI: 10.2307/3432519 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1518887/","Industrial additive","CDPH. 1988. Polychlorinated Biphenyls (PCBs). Fact Sheet.  URL: http://www.cdph.ca.gov/programs/hesis/Documents/pcbs.pdf  UNEP. 1999. Guidlines for the Identification of PCBs and Materials Containing PCBs. URL: http://wedocs.unep.org/handle/20.500.11822/8221  US EPA. 2012. Aroclor and other PCB mixtures. URL: http://www.epa.gov/osw//hazard/tsd/pcbs/pubs/aroclor.htm","05/05/2011","05/05/2011",,,
"2,3,4,6-tetrachlorodibenzofuran","2,3,4,6-TCDF","83704-30-7","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X","Byproduct/Intermediate/Reactant","ATSDR. 1994. Toxicological profile for Chlorodibenzofurans. URL: http://www.atsdr.cdc.gov/ToxProfiles/tp32.pdf  Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: https://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"2,3,4,6,7,8-hexachlorodibenzofuran","2,3,4,6,7,8-HxCDF","60851-34-5","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"2,3,4,7-tetrachlorodibenzofuran","2,3,4,7-TCDF","83704-31-8","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"2,3,4,7,8-pentachlorodibenzofuran","2,3,4,7,8-PeCDF","57117-31-4","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X  Harris M, Zacharewski T, Safe S. 1990. Effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin and related compounds on the occupied nuclear estrogen receptor in MCF-7 human breast cancer cells. Cancer Res 50(12):3579-3584. URL: http://cancerres.aacrjournals.org/content/50/12/3579.long  Krishnan V, Safe S. 1993. Polychlorinated biphenyls (PCBs), dibenzo-p-dioxins (PCDDs), and dibenzofurans (PCDFs) as antiestrogens in MCF-7 human breast cancer cells: quantitative structure-activity relationships. Toxicol Appl Pharmacol 120(1):55-61. DOI: 10.1006/taap.1993.1086. URL: https://www.sciencedirect.com/science/article/pii/S0041008X83710860?via%3Dihub  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"2,3,4,8-tetrachlorodibenzofuran","2,3,4,8-TCDF","83704-32-9","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"2,3,5,6-tetrachloro-4-(methylsulfonyl)pyridine","TCMSP","13108-52-6","Nakama A, Funasaka K, Shimizu M. 2007. Evaluation of estrogenic activity of organic biocides using ER-binding and YES assay. Food Chem Toxicol 45(9):1558-1564. DOI: 10.1016/j.fct.2007.02.014. URL: https://www.sciencedirect.com/science/article/pii/S0278691507000725?via%3Dihub","Pesticide ingredient","National Pesticide Information Retrieval System . URL: http://ppis.ceris.purdue.edu/","01/20/2017","01/20/2017",,,
"2,3,5,6-tetrachlorobiphenyl","PCB-65","33284-54-7","Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO. 1995. The E-SCREEN assay as a tool to identify estrogens: An update on estrogenic environmental pollutants. Environ Health Perspect 103 (Suppl. 7):113-122. DOI: 10.2307/3432519 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1518887/","Industrial additive","CDPH. 1988. Polychlorinated Biphenyls (PCBs). Fact Sheet.  URL: http://www.cdph.ca.gov/programs/hesis/Documents/pcbs.pdf  UNEP. 1999. Guidlines for the Identification of PCBs and Materials Containing PCBs. URL: http://wedocs.unep.org/handle/20.500.11822/8221  US EPA. 2012. Aroclor and other PCB mixtures. URL: http://www.epa.gov/osw//hazard/tsd/pcbs/pubs/aroclor.htm","05/05/2011","05/05/2011",,,
"2,3,5,6-tetrachlorophenol"," ","935-95-5","den Besten C, Vet JJRM, Besselink HT, Kiel GS, Beems R, van Bladeren PJV. 1991. The liver, kidney, and thyroid toxicity of chlorinated benzenes. Toxicol Appl Pharmacol 111(1):69-81. DOI: 10.1016/0041-008X(91)90135-2. URL: https://www.sciencedirect.com/science/article/pii/0041008X91901352","Metabolite/Degradate, Pesticide ingredient","ATSDR. Toxicological Profile for Pentachlorophenol. URL: http://www.atsdr.cdc.gov/toxprofiles/tp51-c6.pdf  National Pesticide Information Retrieval System. URL: http://ppis.ceris.purdue.edu/Default.aspx  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"2,3,6-trichlorobiphenyl","PCB-24","55702-45-9","Pessah, I. N., L. G. Hansen, T. E. Albertson, C. E. Garner, T. A. Ta, Z. Do, K. H. Kim and P. W. Wong (2006). ""Structure-activity relationship for noncoplanar polychlorinated biphenyl congeners toward the ryanodine receptor-Ca2+ channel complex type 1 (RyR1)."" Chem Res Toxicol 19(1): 92-101. DOI: 10.1021/tx050196m. URL: http://pubs.acs.org/doi/abs/10.1021/tx050196m  Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO. 1995. The E-SCREEN assay as a tool to identify estrogens: An update on estrogenic environmental pollutants. Environ Health Perspect 103 (Suppl. 7):113-122. DOI: 10.2307/3432519 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1518887/","Industrial additive","CDPH. 1988. Polychlorinated Biphenyls (PCBs). Fact Sheet.  URL: http://www.cdph.ca.gov/programs/hesis/Documents/pcbs.pdf  UNEP. 1999. Guidlines for the Identification of PCBs and Materials Containing PCBs. URL: http://wedocs.unep.org/handle/20.500.11822/8221  US EPA. 2012. Aroclor and other PCB mixtures. URL: http://www.epa.gov/osw//hazard/tsd/pcbs/pubs/aroclor.htm","05/05/2011","05/05/2011",,,
"2,3,6-trichlorophenol"," ","933-75-5","den Besten C, Vet JJRM, Besselink HT, Kiel GS, Beems R, van Bladeren PJV. 1991. The liver, kidney, and thyroid toxicity of chlorinated benzenes. Toxicol Appl Pharmacol 111(1):69-81. DOI: 10.1016/0041-008X(91)90135-2. URL: https://www.sciencedirect.com/science/article/pii/0041008X91901352","Antimicrobial, Byproduct/Intermediate/Reactant, Pesticide ingredient","US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","05/05/2011",,,
"2,3,6,7-tetrachloronaphthalene","PCN-48; 2,3,6,7-TCN","34588-40-4","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"2,3,6,8-tetrachlorodibenzofuran","2,3,6,8-TCDF","57117-37-0","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X","Byproduct/Intermediate/Reactant","ATSDR. 1994. Toxicological profile for Chlorodibenzofurans. URL: http://www.atsdr.cdc.gov/ToxProfiles/tp32.pdf  Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: https://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"2,3,7-tribromo-8-chlorodibenzo-p-dioxin","2-chloro-3,7,8-tribromodibenzo-p-dioxin","131167-12-9","Schulz-Schalge T, Koch E, Schwind KH, Hutzinger O, Neubert D. 1991. Inductive potency of TCDD, TBDD and three 2,3,7,8-mixed-halogenated dioxins in liver microsomes of male rats. Enzyme kinetic considerations. Chemosphere 23(11-12):1925-1931. DOI: 10.1016/0045-6535(91)90040-K. URL: https://www.sciencedirect.com/science/article/pii/004565359190040K","Byproduct/Intermediate/Reactant, Medical/Veterinary/Research","Mason G, Zacharewski T, Denomme MA, Safe L, Safe S. 1987. Polybrominated dibenzo-p-dioxins and related compounds: Quantitative in vivo and in vitro structure-activity relationships. Toxicology 44(3):245-255. DOI: 10.1016/0300-483X(87)90027-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X87900278  Schulz-Schalge T, Koch E, Schwind KH, Hutzinger O, Neubert D. 1991. Inductive potency of TCDD, TBDD and three 2,3,7,8-mixed-halogenated dioxins in liver microsomes of male rats. Enzyme kinetic considerations. Chemosphere 23(11-12):1925-1931. DOI: 10.1016/0045-6535(91)90040-K. URL: https://www.sciencedirect.com/science/article/pii/004565359190040K","05/05/2011","05/05/2011",,,
"2,3,7-tribromodibenzo-p-dioxin","2,3,7-TriBDD","51974-40-4","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173","Byproduct/Intermediate/Reactant","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173?via%3Dihub  WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"2,3,7-trichlorodibenzo-p-dioxin","2,3,7-triCDD","33857-28-2","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L, Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1):21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","Byproduct/Intermediate/Reactant","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L and Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1): 21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","01/20/2017","01/20/2017",,,
"2,3,7,8-tetrabromodibenzo-p-dioxin","2,3,7,8-TBDD","50585-41-6","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173  Ivens IA, Loser E, Rinke M, Schmidt U, Mohr U. 1993. Subchronic toxicity of 2,3,7,8-tetrabromodibenzo-p-dioxin in rats. Toxicology 83(1-3):181-201. DOI: 10.1016/0300-483X(93)90101-W. URL: https://www.sciencedirect.com/science/article/pii/0300483X9390101W  Kedderis LB, Diliberto JJ, Jackson JA, Linko P, Goldstein JA, Birnbaum LS. 1992. Effects of dose and route of exposure on dioxin disposition. Chemosphere 25(1-2):7-10. DOI: 10.1016/0045-6535(92)90467-6. URL: https://www.sciencedirect.com/science/article/pii/0045653592904676","Byproduct/Intermediate/Reactant","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173?via%3Dihub  WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"2,3,7,8-tetrabromodibenzofuran","2,3,7,8-TBDF","67733-57-7","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173","Byproduct/Intermediate/Reactant","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173?via%3Dihub  WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"2,3,7,8-tetrachlorodibenzo-p-dioxin","2,3,7,8-TCDD","1746-01-6","Hojo R, Zareba G, Kai JW, Baggs RB, Weiss B. 2006. Sex-specific alterations of cerebral cortical cell size in rats exposed prenatally to dioxin. J Appl Toxicol 26(1):25-34. DOI: 10.1002/jat.1101. URL: http://onlinelibrary.wiley.com/doi/10.1002/jat.1101/full  Jablonska O, Piasecka J, Petroff BK, Nynca A, Siawrys G, Wasowska B, Zmijewska A, Lewczuk B, Ciereszko RE. 2011. In vitro effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) on ovarian, pituitary, and pineal function in pigs. Theriogenology 76(5):921-932. DOI: 10.1016/j.theriogenology.2011.04.023. URL: https://www.sciencedirect.com/science/article/pii/S0093691X11002020  Kurita H, Yoshioka W, Nishimura N, Kubota N, Kadowaki T, Tohyama C. 2009. Aryl hydrocarbon receptor-mediated effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin on glucose-stimulated insulin secretion in mice. J Appl Toxicol 29(8):689-694. DOI: 10.1002/jat.1459. URL: http://onlinelibrary.wiley.com/doi/10.1002/jat.1459/abstract  Nishimura N, Yonemoto J, Miyabara Y, Fujii-Kuriyama Y, Tohyama C. 2005. Altered thyroxin and retinoid metabolic response to 2,3,7,8-tetrachlorodibenzo-p-dioxin in aryl hydrocarbon receptor-null mice. Arch Toxicol 79(5):260-267. DOI: 10.1007/s00204-004-0626-4. URL: https://link.springer.com/article/10.1007%2Fs00204-004-0626-4  Shi ZQ, Valdez KE, Ting AY, Franczak A, Gum SL, Petroff BK. 2007. Ovarian endocrine disruption underlies premature reproductive senescence following environmentally relevant chronic exposure to the aryl hydrocarbon receptor agonist 2,3,7,8-tetrachlorodibenzo-p-dioxin. Biol Reprod 76(2):198-202. DOI: 10.1095/biolreprod.106.053991. URL: https://academic.oup.com/biolreprod/article/76/2/198/2629658","Byproduct/Intermediate/Reactant, Medical/Veterinary/Research","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
