"cid_or_cas","chem","cas","cid","category"
"108177","1,2,3,4,5,6-Hexachloronaphthalene","58877-88-6","108177","III"
"108210","1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-","66640-59-3","108210","III"
"110635","Tadalafil","171596-29-5","110635","III"
"114896","Dibenzo(b,e)(1,4)dioxin, 2-bromo-3,7,8-trichloro-","109333-33-7","114896","III"
"114900","6-methyl-1,3,8-trichlorodibenzofuran","118174-38-2","114900","III"
"115218","1,1'-Biphenyl, 2,2',3,4,5,5'-hexachloro-3'-(methylsulfonyl)-","104086-18-2","115218","III"
"117666","4-Fluoro-4'-hydroxybenzophenone","25913-05-7","117666","III"
"119383","1,1'-Biphenyl, 2,2',3,3',4',6-hexachloro-5-(methylsulfonyl)-","149949-90-6","119383","III"
"119587","1,1'-Biphenyl, 2,2',4',5-tetrachloro-3-(methylsulfonyl)-","116807-52-4","119587","III"
"146640","3-Methylsulfonyl-2,3',4',5-tetrachlorobiphenyl","116807-53-5","146640","III"
"158629","Firemaster Bp-6","59536-65-1","158629","III"
"171022","Mercury chloride","51312-24-4","171022","III"
"183016","Oxanthrene, 2,3,7-tribromo-8-chloro-","131167-12-9","183016","III"
"213021","Acetamiprid","135410-20-7","213021","III"
"220773","Dibenzyl phthalate","523-31-9","220773","III"
"222757","Estradiol 3-benzoate","50-50-0","222757","III"
"237873","Sodium sulfide","1313-82-2","237873","III"
"253881","Sodium bromide","7647-15-6","253881","III"
"409301","Methylmercuric chloride","115-09-3","409301","III"
"441404","Testosterone 17beta-cypionate","58-20-8","441404","III"
"442793","Gingerol","23513-14-6","442793","III"
"443495","Sodium arsenite","7784-46-5","443495","III"
"447466","2-Butenal","4170-30-3","447466","III"
"449459","Hydroxytamoxifen","68047-06-3","449459","III"
"516900","Potassium perchlorate","7778-74-7","516900","III"
"533728","Ditiocarb sodium","148-18-5","533728","III"
"590836","Diisononyl phthalate","68515-48-0","590836","III"
"591200","Di-(5-methylhexyl)phthalate","41451-28-9","591200","III"
"601234","3-(dibutylamino) phenol","43141-69-1","601234","III"
"637511","Cinnamaldehyde","104-55-2","637511","III"
"657298","Propyl thiouracil","51-52-5","657298","III"
"667476","Dienestrol","13029-44-2","667476","III"
"707035","2-Benzimidazolethiol","583-39-1","707035","III"
"2723650","Ethylene thiourea","96-45-7","2723650","III"
"2733525","Tamoxifen citrate","54965-24-1","2733525","III"
"2733526","Tamoxifen","10540-29-1","2733526","III"
"2776282","FC-143 surfactant","3825-26-1","2776282","III"
"3032581","Maneb","12427-38-2","3032581","III"
"3032791","Thiophanate-methyl","23564-05-8","3032791","III"
"3033966","4-(alpha-(4-Hydroxy-1-naphthyl)benzylidene)naphthalen-1(4H)-one","145-50-6","3033966","III"
"3034368","Mancozeb","8018-01-7","3034368","III"
"3035829","N,N'-Methylene-bis(2-amino-5-sulfhydryl-1,3,4-thiadiazole)","79319-85-0","3035829","III"
"3080712","Aluminum sulfate","17927-65-0","3080712","III"
"3292100","Phenol, 4,4'-(1,3-phenylenebis(1-methylethylidene))bis-","13595-25-0","3292100","III"
"5040063","1,3,5-Tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole","263717-53-9","5040063","III"
"5281377","Genistin","529-59-9","5281377","III"
"5281672","Myricetin","529-44-2","5281672","III"
"5281707","Coumestrol","479-13-0","5281707","III"
"5281792","Rosmarinic acid","20283-92-5","5281792","III"
"5284363","p-Chloroaniline hydrochloride","20265-96-7","5284363","III"
"5284373","Cyclosporin A","59865-13-3","5284373","III"
"5284378","Amsonic acid","81-11-8","5284378","III"
"5284389","Dinocap","131-72-6","5284389","III"
"5284448","PEG-3 Sorbitan oleate","9005-65-6","5284448","III"
"5284483","Zinc, bis(dibutyldithiocarbamato)-","136-23-2","5284483","III"
"5284484","Zineb","9006-42-2","5284484","III"
"5284596","Naloxone","465-65-6","5284596","III"
"5288826","Morphine","57-27-2","5288826","III"
"5352425","Lead","7439-92-1","5352425","III"
"5360515","Naltrexone","16590-41-3","5360515","III"
"5366415","Sodium methyldithiocarbamate","137-42-8","5366415","III"
"5462311","Boron","7440-42-8","5462311","III"
"6327657","Triphenyltin hydroxide","76-87-9","6327657","III"
"6435890","Abamectin","71751-41-2","6435890","III"
"6437380","Benflumetol","82186-77-4","6437380","III"
"6537498","Chlorowax 500C","1852481-27-6","6537498","III"
"6850715","Dimethylbenzene","1330-20-7","6850715","III"
"9809426","Dibutyltin dilaurate","77-58-7","9809426","III"
"9949848","Medrogestone","977-79-7","9949848","III"
"9966640","Leukotoxin diols","NA","9966640","III"
"10313134","Manganese chloride","7773-01-5","10313134","III"
"10342051","Esfenvalerate","66230-04-4","10342051","III"
"10985889","Decabromodiphenyl ethane","84852-53-9","10985889","III"
"11057755","Flumorph","211867-47-9","11057755","III"
"11092337","Phenol, 2,5-dibromo-4-(2,4-dibromophenoxy)-","602326-23-8","11092337","III"
"11140605","S-Metolachlor","87392-12-9","11140605","III"
"11524680","Diisononyl hexahydrophthalate","166412-78-8","11524680","III"
"11970143","Lipopolysaccharide","NA","11970143","III"
"12521357","Neanthine","123-88-6","12521357","III"
"12961638","Acid Red 51","16423-68-0","12961638","III"
"16682730","Phenylmercuric acetate","62-38-4","16682730","III"
"16682746","Bis(tributyltin) oxide","56-35-9","16682746","III"
"16682804","Phentin acetate","900-95-8","16682804","III"
"16683004","Fenbutatin oxide","13356-08-6","16683004","III"
"16684434","Thimerosal","54-64-8","16684434","III"
"20510796","Perfluorohexane sulfonate","108427-53-8","20510796","III"
"23668193","Sodium nitrite","7632-00-0","23668193","III"
"23668195","Sodium bromate","7789-38-0","23668195","III"
"23668197","Sodium chlorite","7758-19-2","23668197","III"
"23672308","Monosodium glutamate","142-47-2","23672308","III"
"23690444","Sodium thioglycolate","367-51-1","23690444","III"
"44251561","4-Nitro-3-phenylphenol","21419-75-0","44251561","III"
"54671203","Doxycycline","564-25-0","54671203","III"
"71230671","Mefentrifluconazole","1417782-03-6","71230671","III"
"71374219","4-hydroxy-2,2,3,4-tetrabromodiphenyl ether","602326-22-7","71374219","III"
"90472028","Humic acid","NA","90472028","III"
"102196968","Saisentong","NA","102196968","III"
"135398733","2-Hydroxyatrazine","2163-68-0","135398733","III"
"135398735","Rifampin","13292-46-1","135398735","III"
"135398744","Sildenafil","139755-83-2","135398744","III"
"135406868","5-Nitro-1,2,4-triazol-3-one","932-64-9","135406868","III"
"3234-61-5","Thiodiazole copper","3234-61-5","","III"
"1732","Chlorocresol","59-50-7","1732","IV"
"2145","Aminoglutethimide","125-84-8","2145","IV"
"2151","Ampyrone","83-07-8","2151","IV"
"2187","Anastrozole","120511-73-1","2187","IV"
"2771","Citalopram","59729-33-8","2771","IV"
"2812","Clotrimazole","23593-75-1","2812","IV"
"2950","Danthron","117-10-2","2950","IV"
"3121","Valproic acid","99-66-1","3121","IV"
"3198","Econazole","27220-47-9","3198","IV"
"3220","Emodin","518-82-1","3220","IV"
"3365","Fluconazole","86386-73-4","3365","IV"
"3473","Rac-[6]-Gingerol","39886-76-5","3473","IV"
"3715","Indomethacin","53-86-1","3715","IV"
"3758","1-Methyl-3-isobutylxanthine","28822-58-4","3758","IV"
"3878","Lamotrigine","84057-84-1","3878","IV"
"3902","Letrozole","112809-51-5","3902","IV"
"4189","Miconazole","22916-47-8","4189","IV"
"4211","Mitotane","53-19-0","4211","IV"
"4696","Patulin","149-29-1","4696","IV"
"4766","Phenolsulfonphthalein","143-74-8","4766","IV"
"4767","Phenothrin","26002-80-2","4767","IV"
"4937","Propazine","139-40-2","4937","IV"
"5340","Sulfathiazole","72-14-0","5340","IV"
"5853","Trichlorfon","52-68-6","5853","IV"
"6197","Cycloheximide","66-81-9","6197","IV"
"6293","1,2-Dihydroxy-9,10-anthracenedione","72-48-0","6293","IV"
"6421","Trichloroacetic acid","76-03-9","6421","IV"
"6484","Di-n-butyltin","1002-53-5","6484","IV"
"6505","Acetyl tributyl citrate","77-90-7","6505","IV"
"6529","Tri-p-cresyl phosphate","78-32-0","6529","IV"
"6540","Tri(2-butoxyethyl) phosphate","78-51-3","6540","IV"
"6643","p-tert-Amylphenol","80-46-6","6643","IV"
"6776","2,6-Dihydroxyanthraquinone","84-60-6","6776","IV"
"6819","Butyl glycolyl butyl phthalate","85-70-1","6819","IV"
"6914","2,4,6-Trichlorophenol","88-06-2","6914","IV"
"7017","2-Phenyl phenol","90-43-7","7017","IV"
"7180","Benzyl p-hydroxybenzoate","94-18-8","7180","IV"
"7257","3,4-Dichloroaniline","95-76-1","7257","IV"
"7453","4-sec-Butylphenol","99-71-8","7453","IV"
"7489","Terephthalic acid","100-21-0","7489","IV"
"7735","1,4-Cyclohexanedimethanol","105-08-8","7735","IV"
"7767","N-Methyldiethanolamine","105-59-9","7767","IV"
"8113","Diolamine","111-42-2","8113","IV"
"8259","2,2,2-Trichloroethanol","115-20-8","8259","IV"
"8268","Dicofol","115-32-2","8268","IV"
"8606","Captan","133-06-2","8606","IV"
"8607","Folpet","133-07-3","8607","IV"
"8640","1-Naphthylamine","134-32-7","8640","IV"
"10208","Chrysophanic acid","481-74-3","10208","IV"
"10491","Perfluorooctyl iodide","507-63-1","10491","IV"
"10618","Noramidopyrine","519-98-2","10618","IV"
"11273","Formestane","566-48-3","11273","IV"
"11790","alpha-Naphthoflavone","604-59-1","11790","IV"
"11816","Methyl 2-benzoylbenzoate","606-28-0","11816","IV"
"13869","4-Ethyl-1-phospha-2,6,7 trioxabicyclo(2.2.2)octane-1-oxide","1005-93-2","13869","IV"
"14017","1-Aminomethylphosphonic acid","1066-51-9","14017","IV"
"14085","p-Chlorostyrene","1073-67-2","14085","IV"
"14855","4-Chloro-2-cresol","1570-64-5","14855","IV"
"14905","m-Chlorostyrene","2039-85-2","14905","IV"
"14906","o-Chlorostyrene","2039-87-4","14906","IV"
"15757","2,4,2',4'-Tetranitrobiphenyl","1820-59-3","15757","IV"
"16043","t-Butyl hydroquinone","1948-33-0","16043","IV"
"16307","3,3'-Dichlorobiphenyl","2050-67-1","16307","IV"
"16421","Ethyl p-nitrophenyl benzenethiophosphonate","2104-64-5","16421","IV"
"16784","Tripropyltin chloride","2279-76-7","16784","IV"
"17038","Captafol","2425-06-1","17038","IV"
"18529","1,2,5,6,9,10-Hexabromocyclododecane","3194-55-6","18529","IV"
"18728","1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane","3322-93-8","18728","IV"
"22206","Terbuthylazine","5915-41-3","22206","IV"
"25154","Cadmium nitrate","10325-94-7","25154","IV"
"25622","2,2'-Dichlorobiphenyl","13029-08-8","25622","IV"
"26176","Tri-(2-chloroisopropyl)phosphate","13674-84-5","26176","IV"
"27189","Napropamide","15299-99-7","27189","IV"
"27924","Tetradecanoylphorbol acetate","16561-29-8","27924","IV"
"31356","Tris(2,3-dibromo-1-propyl) phosphate","126-72-7","31356","IV"
"31357","Tributyl phosphate","126-73-8","31357","IV"
"31404","Butylated hydroxytoluene","128-37-0","31404","IV"
"32014","8-Bromo cyclic adenosine monophosphate","23583-48-4","32014","IV"
"34254","2,6-Dichlorostyrene","28469-92-3","34254","IV"
"36982","2,4'-Dichlorobiphenyl","34883-43-7","36982","IV"
"38015","2,3,3',4',6-Pentachlorobiphenyl","38380-03-9","38015","IV"
"38024","2,3,6,2',3',6'-Hexachlorobiphenyl","38411-22-2","38024","IV"
"38875","2,2',3,5'-Tetrachlorobiphenyl","41464-39-5","38875","IV"
"38876","2,2',4,5'-Tetrachlorobiphenyl","41464-40-8","38876","IV"
"39681","Isoprothiolane","50512-35-1","39681","IV"
"39985","Diclofop-methyl","51338-27-3","39985","IV"
"40024","Deoxynivalenol","51481-10-8","40024","IV"
"41322","7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide","55097-80-8","41322","IV"
"41368","Triadimenol","55219-65-3","41368","IV"
"42844","1,2,7,8-Tetrachlorodibenzofuran","58802-20-3","42844","IV"
"42851","Octyl dimethyl 4-aminobenzoic acid","58817-05-3","42851","IV"
"43815","Paroxetine","61869-08-7","43815","IV"
"47898","Flutolanil","66332-96-5","47898","IV"
"47936","Colforsin","66575-29-9","47936","IV"
"49973","Dibenzofuran, 2,3,7,8-tetrabromo-","67733-57-7","49973","IV"
"53232","Lovastatin","75330-75-5","53232","IV"
"54267","Mono-n-butyltin","78763-54-9","54267","IV"
"55245","Mifepristone","84371-65-3","55245","IV"
"63107","2,4,4',6-Tetrachlorobiphenyl","32598-12-2","63107","IV"
"67733","Perfluoro-1-iodohexane","355-43-1","67733","IV"
"67734","Perfluorohexanesulfonic acid","355-46-4","67734","IV"
"70355","Hydroxycyclohexyl phenyl ketone","947-19-3","70355","IV"
"72279","6-Hydroxyflavone","6665-83-4","72279","IV"
"76302","2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane","2971-36-0","76302","IV"
"76348","4,4'-Diiodobiphenyl","3001-15-8","76348","IV"
"76739","2,2-di(4-Methacryloxyphenyl)propane","3253-39-2","76739","IV"
"76767","1,3,5-Tribromo-2-(prop-2-en-1-yloxy)benzene","3278-89-5","76767","IV"
"78994","1,6-Diiodoperfluorohexane","375-80-4","78994","IV"
"79381","2,4'-Dihydroxydiphenyl sulfone","5397-34-2","79381","IV"
"79633","2-(Propan-2-yl)-9H-thioxanthen-9-one","5495-84-1","79633","IV"
"79717","4,4'-Isopropylidenedi-2,6-xylol","5613-46-7","79717","IV"
"84677","1,1-Bis(4-hydroxyphenyl)-2,2-dichloroethylene","14868-03-2","84677","IV"
"86398","Fludioxonil","131341-86-1","86398","IV"
"89040","Penfenate","21757-82-4","89040","IV"
"89440","7-acetyl-1,1,3,4,4,6-hexamethyl-1,2,3,4-tetrahydronaphthalene","1506-02-1","89440","IV"
"90479","BAY 93820","24353-61-5","90479","IV"
"90571","2,2-Dimethoxy-2-phenylacetophenone","24650-42-8","90571","IV"
"91497","Galaxolide","1222-05-5","91497","IV"
"91649","Hydroxyflutamide","52806-53-8","91649","IV"
"91691","theta-Cypermethrin","71697-59-1","91691","IV"
"91693","Penconazole","66246-88-6","91693","IV"
"92387","2-Methyl-4'-(methylthio)-2-morpholinopropiophenone","71868-10-5","92387","IV"
"93357","Alpha-Cypermethrin","67375-30-8","93357","IV"
"107953","3,3',4,4'-Tetrabromobiphenyl","77102-82-0","107953","IV"
"111326","1,2-Diphenylcyclobutane, cis-","7694-30-6","111326","IV"
"113063","Phenol, 4-((4-(phenylmethoxy)phenyl)sulfonyl)-","63134-33-8","113063","IV"
"115224","Thiacloprid","111988-49-9","115224","IV"
"117291","Bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate","26040-51-7","117291","IV"
"118216","2,3-Dibromopropyl 2,4,6-tribromophenyl ether","35109-60-5","118216","IV"
"119096","Mono(2-ethyl-5-oxohexyl)phthalate","40321-98-0","119096","IV"
"122825","2,4-Diethyl-9H-thioxanthen-9-one","82799-44-8","122825","IV"
"146570","Escitalopram","128196-01-0","146570","IV"
"148386","2-Ethyl-5-carboxypentyl phthalate","40809-41-4","148386","IV"
"154683","Mono(2-ethylhexyl) terephthalate","155603-50-2","154683","IV"
"156391","Naproxen","22204-53-1","156391","IV"
"156542","Propanoic acid, 2-(4-(2,4-dichlorophenoxy)phenoxy)-, methyl ester, (2S)-","75021-72-6","156542","IV"
"158403","4-Isopropyl-9H-thioxanthen-9-one","83846-86-0","158403","IV"
"164754","Enniatin B","917-13-5","164754","IV"
"167454","Propisochlor","86763-47-5","167454","IV"
"170295","Mono(2-ethyl-5-hydroxyhexyl) phthalate","40321-99-1","170295","IV"
"213031","Fenhexamid","126833-17-8","213031","IV"
"228987","Lilial","80-54-6","228987","IV"
"246598","2,2-(2-Chlorophenyl-4'-chlorophenyl)-1,1-dichloroethene","3424-82-6","246598","IV"
"296646","Cyclooctane, 1,2,5,6-tetrabromo-","3194-57-8","296646","IV"
"305767","Tributyltin bromide","1461-23-0","305767","IV"
"439246","Naringenin","480-41-1","439246","IV"
"442731","Pulmatin","13241-28-6","442731","IV"
"443409","Ethylketocyclazocine","36292-66-7","443409","IV"
"630355","Bisphenol P","2167-51-3","630355","IV"
"644209","Etorphine","14521-96-1","644209","IV"
"656687","3,3-dibromobisphenol A","29426-78-6","656687","IV"
"656688","3-monobromobisphenol A","6073-11-6","656688","IV"
"656692","2,2-bis(4-hydroxyphenyl)-propanol","142648-65-5","656692","IV"
"667484","Etomidate","33125-97-2","667484","IV"
"969491","Dieldrin","60-57-1","969491","IV"
"2288503","3,3-bis(4-hydroxyphenyl)pentane","3600-64-4","2288503","IV"
"3022255","Bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-1-dodecanol) hydrogen phosphate","1895-26-7","3022255","IV"
"3032732","Tributyltin","688-73-3","3032732","IV"
"3086109","3,5-Dibromo-2-(2,4-dibromophenoxy)phenol","79755-43-4","3086109","IV"
"3086172","Alphamethrin","72204-44-5","3086172","IV"
"4201081","4,4'-Propane-1,1-diyldiphenol","1576-13-2","4201081","IV"
"5280373","Biochanin A","491-80-5","5280373","IV"
"5280378","Formononetin","485-72-3","5280378","IV"
"5280445","Luteolin","491-70-3","5280445","IV"
"5281004","Budesonide","51333-22-3","5281004","IV"
"5281654","3-Methylquercetin","480-19-3","5281654","IV"
"5284537","Cyproterone","2098-66-0","5284537","IV"
"5284583","Levetiracetam","102767-28-2","5284583","IV"
"5284645","alpha-Zearalenol","36455-72-8","5284645","IV"
"5289418","3-[(3-(2-Carboxyethyl)-4-methylpyrrol-2-YL)methylene]-2-indolinone","215543-92-3","5289418","IV"
"5324346","Fluvoxamine","54739-18-3","5324346","IV"
"5359485","Alternariol","641-38-3","5359485","IV"
"5821911","Thiamethoxam","153719-23-4","5821911","IV"
"6327054","Cyhexatin","13121-70-5","6327054","IV"
"6433227","Alpha-Endosulfan","959-98-8","6433227","IV"
"6437352","beta-Zearalenol","71030-11-0","6437352","IV"
"6440554","Lambda-Cyhalothrin","91465-08-6","6440554","IV"
"9568614","1H-Benzimidazole, 5-methoxy-2-((S)-((4-methoxy-3,5-dimethyl-2- pyridinyl)methyl)sulfinyl)-","119141-88-7","9568614","IV"
"9579578","Omeprazole, (R)-","119141-89-8","9579578","IV"
"10017512","3'-Methoxy-4'-nitroflavone","145370-39-4","10017512","IV"
"10143739","8:2 monoalkylated phosphate surfactants","57678-03-2","10143739","IV"
"10908094","2-MeO-BDE-123","NA","10908094","IV"
"11201035","Phtpp","805239-56-9","11201035","IV"
"11954121","4,4-bis(4-hydroxyphenyl)heptane","7425-79-8","11954121","IV"
"11954175","1,2-Diphenylcyclobutane, trans-","20071-09-4","11954175","IV"
"11978695","2-OH-BDE-123","80246-24-8","11978695","IV"
"12309460","Endosulfan II","33213-65-9","12309460","IV"
"12310947","Aldrin","309-00-2","12310947","IV"
"12617361","(1S)-trans-(Alphar)-cypermethrin","83860-32-6","12617361","IV"
"12926729","(S)-Lactofen","NA","12926729","IV"
"13013865","Napropamide-M","41643-35-0","13013865","IV"
"13643667","2-bromoallyl 2,4,6-tribromophenylether(bate)","99717-56-3","13643667","IV"
"23249466","6-MeO-BDE-47","102739-99-1","23249466","IV"
"23725123","N-(6-Aminopyridin-2-yl)-4'-cyanobiphenyl-4-sulfonamide","857290-04-1","23725123","IV"
"42628600","Cylindrospermopsin","143545-90-8","42628600","IV"
"54670067","Ascorbic acid","50-81-7","54670067","IV"
"54675777","Chlortetracycline","57-62-5","54675777","IV"
"54675779","Oxytetracycline","79-57-2","54675779","IV"
"67930073","(R)-Lactofen","NA","67930073","IV"
"71316600","2-Ethylhexyltetrabromobenzoate","183658-27-7","71316600","IV"
"85682529","4-Hydroxybenzoic acid 3-hydroxybutyl ester","NA","85682529","IV"
"86208519","3,3',4,5'-Tetrabromodiphenyl ether","446254-48-4","86208519","IV"
"2406-68-0","Monophenyltin","2406-68-0","","IV"
